Organism	BioProject	Run	Tissue	Treatment	Isolate	AGE	SRA Study	Sample Name	Bases	Bytes	AvgSpotLen	BioSample	Experiment	ReleaseDate	create_date	Library Name	dev_stage	Cultivar					name
Brassica juncea	PRJNA562990	SRR10038644	Calli	TDZ1.5NAA0	calli	21	SRP219727	T15N021	17376606600	6751320451	300	SAMN12660999	SRX6773706	2020-09-10T00:00:00Z	2019-08-30T09:34:00Z	T15N021	calli	J163-4					Calli_21days
Brassica juncea	PRJNA562990	SRR10038645	Calli	TDZ1.5NAA0	calli	15	SRP219727	T15N015	21723564000	8731501124	300	SAMN12660998	SRX6773705	2020-09-10T00:00:00Z	2019-08-30T09:42:00Z	T15N015	calli	J163-4					Calli_15days
Brassica juncea	PRJNA562990	SRR10038646	Calli	TDZ0NAA0.1	calli	21	SRP219727	T0N0121	21391213500	8425845621	300	SAMN12660997	SRX6773704	2020-09-10T00:00:00Z	2019-08-30T09:41:00Z	T0N0121	calli	J163-4					Calli_21days
Brassica juncea	PRJNA562990	SRR10038647	Calli	TDZ0NAA0.1	calli	15	SRP219727	T0N0115	21706831200	8448890061	300	SAMN12660996	SRX6773703	2020-09-10T00:00:00Z	2019-08-30T09:41:00Z	T0N0115	calli	J163-4					Calli_15days
Brassica juncea	PRJNA562990	SRR10038648	Calli	TDZ0NAA0	calli	21	SRP219727	T021N0	21595547100	8647015850	300	SAMN12660995	SRX6773702	2020-09-10T00:00:00Z	2019-08-30T09:36:00Z	T021N0	calli	J163-4					Calli_21days
Brassica juncea	PRJNA562990	SRR10038649	Calli	TDZ0NAA0	calli	15	SRP219727	T015N0	21993333000	8587357225	300	SAMN12660994	SRX6773701	2020-09-10T00:00:00Z	2019-08-30T09:40:00Z	T015N0	calli	J163-4					Calli_15days
Brassica rapa	PRJNA574553	SRR10193525	Leaf	pTY-BcERF070-C	-	-	SRP223476	T07	7852205836	3112138057	298	SAMN12859645	SRX6913785	2019-09-27T00:00:00Z	2019-09-27T02:50:00Z	pTY-BcERF070-C	two weeks after inoculation with turnip yellow mosaic virus	Suzhou Qing					Leaf_2weeks
Brassica rapa	PRJNA574553	SRR10193526	Leaf	pTY-BcERF070-B	-	-	SRP223476	T06	8064124742	3192464966	298	SAMN12859644	SRX6913784	2019-09-27T00:00:00Z	2019-09-27T02:53:00Z	pTY-BcERF070-B	two weeks after inoculation with turnip yellow mosaic virus	Suzhou Qing					Leaf_2weeks
Brassica rapa	PRJNA574553	SRR10193527	Leaf	pTY-BcERF070-A	-	-	SRP223476	T05	7562715074	3015889442	298	SAMN12859643	SRX6913783	2019-09-27T00:00:00Z	2019-09-27T02:51:00Z	pTY-BcERF070-A	two weeks after inoculation with turnip yellow mosaic virus	Suzhou Qing					Leaf_2weeks
Brassica rapa	PRJNA574553	SRR10193528	Leaf	pTY-A	-	-	SRP223476	T04	7503663022	2960688048	298	SAMN12859642	SRX6913782	2019-09-27T00:00:00Z	2019-09-27T02:50:00Z	pTY-A	two weeks after inoculation with turnip yellow mosaic virus	Suzhou Qing					Leaf_2weeks
Brassica rapa	PRJNA574553	SRR10193529	Leaf	pTY-C	-	-	SRP223476	T09	8604654428	3443766029	299	SAMN12859647	SRX6913781	2019-09-27T00:00:00Z	2019-09-27T02:52:00Z	pTY-C	two weeks after inoculation with turnip yellow mosaic virus	Suzhou Qing					Leaf_2weeks
Brassica rapa	PRJNA574553	SRR10193530	Leaf	pTY-B	-	-	SRP223476	T08	8178929292	3271927903	299	SAMN12859646	SRX6913780	2019-09-27T00:00:00Z	2019-09-27T02:56:00Z	pTY-B	two weeks after inoculation with turnip yellow mosaic virus	Suzhou Qing					Leaf_2weeks
Brassica juncea	PRJNA576081	SRR10237223	Leaf	-	cv. Varuna_Le	-	SRP224551	Le_FED	5404293131	2384663952	278	SAMN12924497	SRX6956452	2020-11-03T00:00:00Z	2019-10-07T02:18:00Z	LE FED	Four week old young plants	-					Leaf_4weeks
Brassica juncea	PRJNA576081	SRR10237224	Leaf	-	cv. Varuna_Control	-	SRP224551	Control_brassica	5758584146	2543655137	279	SAMN12924496	SRX6956451	2020-11-03T00:00:00Z	2019-10-07T02:23:00Z	Control	Four week old young plants	-					Leaf_4weeks
Brassica juncea	PRJNA576081	SRR10237225	Leaf	-	cv. Varuna_Ac	-	SRP224551	Ac_FED	5216372277	2394130383	269	SAMN12924495	SRX6956450	2020-11-03T00:00:00Z	2019-10-07T02:26:00Z	AC FED	Four week old young plants	-					Leaf_4weeks
Brassica rapa	PRJNA576336	SRR10273136	Leaf	-	-	-	SRP225271	Pak choi	39693793494	15456127302	296	SAMN12996754	SRX6986347	2020-11-01T00:00:00Z	2019-10-14T06:49:00Z	Brassica_rapa_RNAseq	seedling	ZYCX					Leaf
Brassica rapa	PRJNA576336	SRR10295927	Leaf	-	-	-	SRP225271	Chinese cabbage-2	39138659044	15166480513	296	SAMN13037559	SRX7008755	2020-11-01T00:00:00Z	2019-10-16T23:05:00Z	Brassica_rapa_RNAseq	seedling	152					Leaf
Brassica rapa	PRJNA576336	SRR10295940	Leaf	-	-	-	SRP225271	Yellow sarson	33528373708	13162403900	296	SAMN13037334	SRX7008768	2020-11-01T00:00:00Z	2019-10-16T22:58:00Z	Brassica_rapa_RNAseq	seedling	307					Leaf
Brassica oleracea	PRJNA580294	SRR10382250	Leaf	-	50 BC1 individuals bulk	3-month-old	SRP227895	N-pool	5294334500	2593289288	250	SAMN13154810	SRX7083061	2020-08-31T00:00:00Z	2019-11-01T04:45:00Z	Bc	rosette stage	albino bulk in BC1 of ornamental kale and cabbage					Leaf_3months
Brassica oleracea	PRJNA580294	SRR10382251	Leaf	-	50 BC1 individuals bulk	3-month-old	SRP227895	A-pool	6208685250	3028882056	250	SAMN13154809	SRX7083060	2020-08-31T00:00:00Z	2019-11-01T04:47:00Z	Bb	rosette stage	albino bulk in BC1 population of ornamental kale and cabbage					Leaf_3months
Brassica oleracea	PRJNA577908	SRR10386639	Leaf	-	RS-To	-	SRP227981	RS-To_H7YTKCCXY_L1	12160117200	4809708799	300	SAMN13181444	SRX7087418	2020-11-12T00:00:00Z	2019-11-01T21:34:00Z	RS-To	true leaf 3	-					Leaf
Brassica rapa	PRJNA577908	SRR10386640	Leaf	-	RS-IMB	-	SRP227981	RS-IMB_H7YTKCCXY_L1	15160534200	6133389671	300	SAMN13181443	SRX7087417	2020-11-12T00:00:00Z	2019-11-01T21:54:00Z	RS-IMB	true leaf 3	-					Leaf
Brassica juncea	PRJNA592031	SRR10538978	Root	-	R36	50 days after seeding	SRP233351	J30R3	9462833400	3021530963	300	SAMN13403766	SRX7222801	2020-12-12T00:00:00Z	2019-11-27T03:29:00Z	J30R3	-	Purple Leaf Mustard					Root
Brassica juncea	PRJNA592031	SRR10538979	Root	-	R35	50 days after seeding	SRP233351	J30R2	7253443500	2343411150	300	SAMN13403765	SRX7222800	2020-12-12T00:00:00Z	2019-11-27T03:25:00Z	J30R2	-	Purple Leaf Mustard					Root
Brassica juncea	PRJNA592031	SRR10538980	Root	-	R34	50 days after seeding	SRP233351	J30R1	8964585000	2872825329	300	SAMN13403764	SRX7222799	2020-12-12T00:00:00Z	2019-11-27T03:29:00Z	J30R1	-	Purple Leaf Mustard					Root
Brassica juncea	PRJNA592031	SRR10538981	Root	-	R33	50 days after seeding	SRP233351	J10R3	6478058700	2206547043	300	SAMN13403763	SRX7222798	2020-12-12T00:00:00Z	2019-11-27T03:25:00Z	J10R3	-	Purple Leaf Mustard					Root
Brassica juncea	PRJNA592031	SRR10538982	Root	-	R32	50 days after seeding	SRP233351	J10R2	7276182900	2476732995	300	SAMN13403762	SRX7222797	2020-12-12T00:00:00Z	2019-11-27T03:25:00Z	J10R2	-	Purple Leaf Mustard					Root
Brassica juncea	PRJNA592031	SRR10538983	Root	-	R31	50 days after seeding	SRP233351	J10R1	8353064400	2893201065	300	SAMN13403761	SRX7222796	2020-12-12T00:00:00Z	2019-11-27T03:27:00Z	J10R1	-	Purple Leaf Mustard					Root
Brassica juncea	PRJNA592031	SRR10538985	Root	-	R30	50 days after seeding	SRP233351	J0R3	7217952300	2303879530	300	SAMN13403760	SRX7222794	2020-12-12T00:00:00Z	2019-11-27T03:25:00Z	J0R3	-	Purple Leaf Mustard					Root
Brassica juncea	PRJNA592031	SRR10538986	Root	-	R29	50 days after seeding	SRP233351	J0R2	7530105600	2547034840	300	SAMN13403759	SRX7222793	2020-12-12T00:00:00Z	2019-11-27T03:27:00Z	J0R2	-	Purple Leaf Mustard					Root
Brassica juncea	PRJNA592031	SRR10538987	Root	-	R28	50 days after seeding	SRP233351	J0R1	9596454000	3228227690	300	SAMN13403758	SRX7222792	2020-12-12T00:00:00Z	2019-11-27T03:29:00Z	J0R1	-	Purple Leaf Mustard					Root
Brassica juncea	PRJNA592031	SRR10538988	Leaf	-	R27	50 days after seeding	SRP233351	J30L3	6383241300	2173091021	300	SAMN13403757	SRX7222791	2020-12-12T00:00:00Z	2019-11-27T03:23:00Z	J30L3	-	Purple Leaf Mustard					Leaf
Brassica juncea	PRJNA592031	SRR10538989	Leaf	-	R26	50 days after seeding	SRP233351	J30L2	8152395900	2785955869	300	SAMN13403756	SRX7222790	2020-12-12T00:00:00Z	2019-11-27T03:27:00Z	J30L2	-	Purple Leaf Mustard					Leaf
Brassica juncea	PRJNA592031	SRR10538990	Leaf	-	R25	50 days after seeding	SRP233351	J30L1	8488212300	2916591242	300	SAMN13403755	SRX7222789	2020-12-12T00:00:00Z	2019-11-27T03:27:00Z	J30L1	-	Purple Leaf Mustard					Leaf
Brassica juncea	PRJNA592031	SRR10538991	Leaf	-	R24	50 days after seeding	SRP233351	J10L3	8401522200	2806375414	300	SAMN13403754	SRX7222788	2020-12-12T00:00:00Z	2019-11-27T03:28:00Z	J10L3	-	Purple Leaf Mustard					Leaf
