GeneID	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	IJC_SAMPLE_1	SJC_SAMPLE_1	IncFormLen	SkipFormLen	IncLevel1	Type
BnaA01G0004100ZS	chrscaffoldA01	-	366299	366609	366299	366604	366962	367067	3	2	153	148	0.592	A3SS
BnaA01G0004100ZS	chrscaffoldA01	-	366299	366609	366299	366604	366962	367067	5	23	153	148	0.174	A3SS
BnaA01G0004200ZS	chrscaffoldA01	-	369905	370013	369905	370010	370220	370271	3	12	151	148	0.197	A3SS
BnaA01G0018900ZS	chrscaffoldA01	+	1133187	1133269	1133192	1133269	1132842	1133101	5	11	153	148	0.305	A3SS
BnaA01G0022800ZS	chrscaffoldA01	+	1325560	1325871	1325583	1325871	1325415	1325490	48	467	171	148	0.082	A3SS
BnaA01G0022800ZS	chrscaffoldA01	+	1325560	1325871	1325583	1325871	1325415	1325490	88	714	171	148	0.096	A3SS
BnaA01G0025600ZS	chrscaffoldA01	-	1500485	1500621	1500485	1500613	1500703	1500819	1	1	156	148	0.487	A3SS
BnaA01G0027400ZS	chrscaffoldA01	+	1572775	1573061	1572991	1573061	1572540	1572690	1	0	296	148	1	A3SS
BnaA01G0029700ZS	chrscaffoldA01	+	1651519	1651725	1651522	1651725	1650908	1651433	5	1	151	148	0.831	A3SS
BnaA01G0032000ZS	chrscaffoldA01	+	1776230	1776594	1776233	1776594	1775463	1776141	1	1	151	148	0.495	A3SS
BnaA01G0032000ZS	chrscaffoldA01	+	1776230	1776594	1776233	1776594	1775463	1776141	11	1	151	148	0.915	A3SS
BnaA01G0032200ZS	chrscaffoldA01	-	1781944	1782546	1781944	1782265	1782945	1783026	4	2	296	148	0.5	A3SS
BnaA01G0033100ZS	chrscaffoldA01	-	1852347	1852599	1852347	1852581	1852670	1852996	2	0	166	148	1	A3SS
BnaA01G0033300ZS	chrscaffoldA01	+	1865057	1865261	1865207	1865261	1864841	1864947	2744	0	296	148	1	A3SS
BnaA01G0033300ZS	chrscaffoldA01	+	1865057	1865261	1865207	1865261	1864841	1864947	4545	0	296	148	1	A3SS
BnaA01G0033300ZS	chrscaffoldA01	+	1866026	1866136	1866070	1866136	1865844	1865954	3508	0	192	148	1	A3SS
BnaA01G0033300ZS	chrscaffoldA01	+	1866026	1866136	1866070	1866136	1865844	1865954	4010	2	192	148	0.999	A3SS
BnaA01G0034300ZS	chrscaffoldA01	+	1906141	1906385	1906153	1906385	1905874	1906060	2	0	160	148	1	A3SS
BnaA01G0036000ZS	chrscaffoldA01	-	1984741	1985167	1984741	1985015	1985243	1985372	1	1	296	148	0.333	A3SS
BnaA01G0036000ZS	chrscaffoldA01	-	1984741	1985167	1984741	1985019	1985243	1985372	1	0	296	148	1	A3SS
BnaA01G0037600ZS	chrscaffoldA01	-	2062687	2062824	2062687	2062813	2063037	2063088	1	0	159	148	1	A3SS
BnaA01G0037600ZS	chrscaffoldA01	-	2062687	2062824	2062687	2062813	2063037	2063088	6	0	159	148	1	A3SS
BnaA01G0038700ZS	chrscaffoldA01	-	2113285	2114434	2113285	2114391	2114737	2115482	1	1	191	148	0.437	A3SS
BnaA01G0038700ZS	chrscaffoldA01	-	2113285	2114434	2113285	2114391	2114737	2115482	5	1	191	148	0.795	A3SS
BnaA01G0038900ZS	chrscaffoldA01	-	2128142	2128214	2128142	2128202	2128281	2128476	3	5	160	148	0.357	A3SS
BnaA01G0040400ZS	chrscaffoldA01	-	2199349	2199407	2199349	2199398	2199495	2199719	1	0	157	148	1	A3SS
BnaA01G0040900ZS	chrscaffoldA01	-	2225084	2225245	2225084	2225242	2225349	2225709	59	12	151	148	0.828	A3SS
BnaA01G0040900ZS	chrscaffoldA01	-	2225084	2225245	2225084	2225242	2225349	2225709	89	11	151	148	0.888	A3SS
BnaA01G0041900ZS	chrscaffoldA01	-	2275254	2275353	2275254	2275344	2275430	2275627	22	2	157	148	0.912	A3SS
BnaA01G0041900ZS	chrscaffoldA01	-	2275254	2275353	2275254	2275344	2275430	2275627	23	2	157	148	0.916	A3SS
BnaA01G0042500ZS	chrscaffoldA01	+	2299269	2299577	2299278	2299577	2298963	2299086	2	0	157	148	1	A3SS
BnaA01G0042500ZS	chrscaffoldA01	+	2299269	2299577	2299278	2299577	2298963	2299086	3	8	157	148	0.261	A3SS
BnaA01G0042500ZS	chrscaffoldA01	+	2301409	2301515	2301413	2301515	2300030	2300233	2	2	152	148	0.493	A3SS
BnaA01G0042500ZS	chrscaffoldA01	+	2301409	2301515	2301413	2301515	2300030	2300233	4	1	152	148	0.796	A3SS
BnaA01G0042900ZS	chrscaffoldA01	+	2319143	2319235	2319147	2319235	2318970	2319042	1	0	152	148	1	A3SS
BnaA01G0043500ZS	chrscaffoldA01	-	2348883	2348988	2348883	2348985	2349080	2349194	2	19	151	148	0.094	A3SS
BnaA01G0043500ZS	chrscaffoldA01	-	2348883	2348988	2348883	2348985	2349080	2349194	2	8	151	148	0.197	A3SS
BnaA01G0046300ZS	chrscaffoldA01	+	2468261	2468972	2468267	2468972	2467539	2468192	11	2	154	148	0.841	A3SS
BnaA01G0046500ZS	chrscaffoldA01	+	2480437	2480663	2480440	2480663	2479692	2480346	2	2	151	148	0.495	A3SS
BnaA01G0047000ZS	chrscaffoldA01	+	2511171	2511516	2511342	2511516	2510957	2511087	14	0	296	148	1	A3SS
BnaA01G0047000ZS	chrscaffoldA01	+	2511171	2511516	2511342	2511516	2510957	2511087	3	0	296	148	1	A3SS
BnaA01G0047000ZS	chrscaffoldA01	+	2512776	2512837	2512779	2512837	2512524	2512691	1	2	151	148	0.329	A3SS
BnaA01G0047000ZS	chrscaffoldA01	+	2512776	2512837	2512779	2512837	2512524	2512691	6	7	151	148	0.457	A3SS
BnaA01G0047800ZS	chrscaffoldA01	-	2541565	2541650	2541565	2541639	2541762	2541872	1	0	159	148	1	A3SS
BnaA01G0049300ZS	chrscaffoldA01	+	2621459	2621731	2621591	2621731	2621176	2621379	119	0	280	148	1	A3SS
BnaA01G0049300ZS	chrscaffoldA01	+	2621459	2621731	2621591	2621731	2621176	2621379	36	0	280	148	1	A3SS
BnaA01G0050100ZS	chrscaffoldA01	-	2655598	2656076	2655598	2656073	2656164	2656211	23	2	151	148	0.919	A3SS
BnaA01G0050100ZS	chrscaffoldA01	-	2655598	2656076	2655598	2656073	2656164	2656211	23	5	151	148	0.818	A3SS
BnaA01G0052100ZS	chrscaffoldA01	-	2812844	2813567	2812844	2813564	2813655	2813920	14	1	151	148	0.932	A3SS
BnaA01G0052100ZS	chrscaffoldA01	-	2812844	2813567	2812844	2813564	2813655	2813920	4	1	151	148	0.797	A3SS
BnaA01G0052800ZS	chrscaffoldA01	-	2862396	2862644	2862396	2862554	2863071	2863156	2	0	238	148	1	A3SS
