GeneID	Chr	Start	End	Stand	Description	Preferred_name	GOs	KEGG_ko	PFAMs
BnaA01T0000100ZS	scaffoldA01	124814	125347	+	Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism	-	-	-	Dirigent
BnaA01T0000200ZS	scaffoldA01	152729	153872	+	Thaumatin-like protein 1b	-	-	-	Thaumatin
BnaA01T0000300ZS	scaffoldA01	156327	156924	-	DNA-directed 5'-3' RNA polymerase activity	-	-	-	Peptidase_M17,RNA_pol_Rpb2_2
BnaA01T0000400ZS	scaffoldA01	157907	158420	+	YL1 nuclear protein C-terminal domain	-	-	ko:K11667	YL1_C
BnaA01T0000500ZS	scaffoldA01	158612	162227	-	Serine threonine-protein kinase	-	GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004712,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009657,GO:0009658,GO:0009987,GO:0016043,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0023052,GO:0035556,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071704,GO:0071840,GO:0140096,GO:1901564	-	ACT,Pkinase_Tyr
BnaA01T0000600ZS	scaffoldA01	166108	167179	-	Belongs to the FPP GGPP synthase family	-	GO:0003674,GO:0003824,GO:0004659,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006629,GO:0006720,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009507,GO:0009536,GO:0009579,GO:0009987,GO:0016020,GO:0016740,GO:0016765,GO:0034357,GO:0042214,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043692,GO:0043693,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044436,GO:0044444,GO:0044464,GO:0046246,GO:0071704,GO:1901576	ko:K13789	polyprenyl_synt
BnaA01T0000700ZS	scaffoldA01	168437	169421	+	Belongs to the expansin family	EXLA1	GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005911,GO:0009505,GO:0009506,GO:0012505,GO:0030054,GO:0030312,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0055044,GO:0071944	-	DPBB_1,Pollen_allerg_1
BnaA01T0000800ZS	scaffoldA01	174656	178440	-	Belongs to the glycosyltransferase 2 family	-	-	ko:K20924	Cellulose_synt,zf-RING_4
BnaA01T0000900ZS	scaffoldA01	183401	184249	-	atexp20,atexpa20,athexp alpha 1.23,exp20,expa20	EXPA20	GO:0005575,GO:0005618,GO:0005623,GO:0006949,GO:0008150,GO:0009628,GO:0009653,GO:0009987,GO:0016020,GO:0030312,GO:0032502,GO:0044464,GO:0048646,GO:0048856,GO:0050896,GO:0071944,GO:0080167	-	DPBB_1,Pollen_allerg_1
BnaA01T0001000ZS	scaffoldA01	183674	186517	+	N-acyl-L-amino-acid amidohydrolase	-	GO:0003674,GO:0003824,GO:0004046,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0016787,GO:0016810,GO:0016811,GO:0031982,GO:0042802,GO:0043226,GO:0043227,GO:0043230,GO:0044421,GO:0070062,GO:1903561	ko:K01436,ko:K14677	M20_dimer,Peptidase_M20
BnaA01T0001100ZS	scaffoldA01	192651	193010	+	amino acid transporter	-	GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015175,GO:0015318,GO:0015711,GO:0015804,GO:0015849,GO:0016020,GO:0022857,GO:0031090,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0098588,GO:0098656,GO:0098805,GO:1903825,GO:1905039	ko:K14209	Aa_trans
BnaA01T0001200ZS	scaffoldA01	199476	202154	+	Organic solute transporter Ostalpha	-	GO:0000325,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005829,GO:0006810,GO:0006996,GO:0007033,GO:0008150,GO:0008219,GO:0009705,GO:0009966,GO:0009968,GO:0009987,GO:0010646,GO:0010648,GO:0012501,GO:0016020,GO:0016021,GO:0016043,GO:0016192,GO:0023051,GO:0023057,GO:0031090,GO:0031224,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0050789,GO:0050794,GO:0051179,GO:0051234,GO:0065007,GO:0071840,GO:0098588,GO:0098805,GO:0098876,GO:1900457,GO:1900458	-	Solute_trans_a
BnaA01T0001300ZS	scaffoldA01	202914	203851	+	Organic solute transporter Ostalpha	-	GO:0000325,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005829,GO:0006810,GO:0006996,GO:0007033,GO:0008150,GO:0008219,GO:0009705,GO:0009966,GO:0009968,GO:0009987,GO:0010646,GO:0010648,GO:0012501,GO:0016020,GO:0016021,GO:0016043,GO:0016192,GO:0023051,GO:0023057,GO:0031090,GO:0031224,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0050789,GO:0050794,GO:0051179,GO:0051234,GO:0065007,GO:0071840,GO:0098588,GO:0098805,GO:0098876,GO:1900457,GO:1900458	-	Solute_trans_a
BnaA01T0001400ZS	scaffoldA01	205651	206010	-	amino acid transporter	-	GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015175,GO:0015318,GO:0015711,GO:0015804,GO:0015849,GO:0016020,GO:0022857,GO:0031090,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0098588,GO:0098656,GO:0098805,GO:1903825,GO:1905039	ko:K14209	Aa_trans
BnaA01T0001500ZS	scaffoldA01	212143	214987	-	N-acyl-L-amino-acid amidohydrolase	-	GO:0003674,GO:0003824,GO:0004046,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0016787,GO:0016810,GO:0016811,GO:0031982,GO:0042802,GO:0043226,GO:0043227,GO:0043230,GO:0044421,GO:0070062,GO:1903561	ko:K01436,ko:K14677	M20_dimer,Peptidase_M20
BnaA01T0001600ZS	scaffoldA01	214412	215260	+	atexp20,atexpa20,athexp alpha 1.23,exp20,expa20	EXPA20	GO:0005575,GO:0005618,GO:0005623,GO:0006949,GO:0008150,GO:0009628,GO:0009653,GO:0009987,GO:0016020,GO:0030312,GO:0032502,GO:0044464,GO:0048646,GO:0048856,GO:0050896,GO:0071944,GO:0080167	-	DPBB_1,Pollen_allerg_1
BnaA01T0001700ZS	scaffoldA01	220241	224025	+	Belongs to the glycosyltransferase 2 family	-	-	ko:K20924	Cellulose_synt,zf-RING_4
BnaA01T0001800ZS	scaffoldA01	229262	230246	-	Belongs to the expansin family	EXLA1	GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005911,GO:0009505,GO:0009506,GO:0012505,GO:0030054,GO:0030312,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0055044,GO:0071944	-	DPBB_1,Pollen_allerg_1
